Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
693,Exit short,2023-08-21 11:15,S-TP1,14851.5,2,59181,-225,-0.38,28,0.05,-225,-0.38,42268.5,4.23
693,Entry short,2023-08-21 10:40,ORB Short B (2c) S:75 H:25 T1:CTF S&R (2x) T2:Weekly Low,14795.25,2,59181,-225,-0.38,28,0.05,-225,-0.38,42268.5,4.23
694,Exit short,2023-08-22 09:30,S-TP1,14970.75,3,90094.5,270,0.30,270,0.30,-246,-0.27,42538.5,4.25
694,Entry short,2023-08-22 08:50,ORB Short B+ (3c) S:84 H:25 T1:FVG T2:HTF S&R (48x),15015.75,3,90094.5,270,0.30,270,0.30,-246,-0.27,42538.5,4.25
695,Exit short,2023-08-22 10:55,S-TP1,14973.5,4,120128,340,0.28,340,0.28,-234,-0.19,42878.5,4.29
695,Entry short,2023-08-22 10:10,ORB Short B+ (4c) S:84 H:25 T1:FVG T2:HTF S&R (48x),15016,4,120128,340,0.28,340,0.28,-234,-0.19,42878.5,4.29
696,Exit short,2023-08-25 09:35,S-TP1,14840.25,3,89326.5,285,0.32,285,0.32,-120,-0.13,43163.5,4.32
696,Entry short,2023-08-25 09:25,ORB Short B+ (3c) S:82 H:30 T1:FVG T2:CTF S&R (2x),14887.75,3,89326.5,285,0.32,285,0.32,-120,-0.13,43163.5,4.32
697,Exit short,2023-08-25 13:15,S-TP1,14923.5,4,118988,-400,-0.34,292,0.25,-400,-0.34,42763.5,4.28
697,Entry short,2023-08-25 12:15,ORB Short B+ (4c) S:80 H:30 T1:FVG T2:CTF S&R (2x),14873.5,4,118988,-400,-0.34,292,0.25,-400,-0.34,42763.5,4.28
698,Exit short,2023-08-28 12:05,S-TP1,15093,2,60133,-239,-0.40,199,0.33,-239,-0.40,42524.5,4.25
698,Entry short,2023-08-28 09:40,ORB Short B (2c) S:72 H:25 T1:CTF S&R T2:HTF S&R (48x),15033.25,2,60133,-239,-0.40,199,0.33,-239,-0.40,42524.5,4.25
699,Exit short,2023-08-28 14:45,S-TP1,15084.5,2,60100,-238,-0.40,106,0.18,-238,-0.40,42286.5,4.23
699,Entry short,2023-08-28 12:50,ORB Short B (2c) S:75 H:25 T1:CTF S&R T2:HTF S&R (48x),15025,2,60100,-238,-0.40,106,0.18,-238,-0.40,42286.5,4.23
700,Exit long,2023-08-30 15:55,EOD Close,15512.5,2,61801,249,0.40,297,0.48,-94,-0.15,42535.5,4.25
700,Entry long,2023-08-30 09:35,ORB Long B (2c) S:77 H:30 T1:Round T2:Round,15450.25,2,61801,249,0.40,297,0.48,-94,-0.15,42535.5,4.25
701,Exit long,2023-08-31 11:45,L-TP1,15505.75,3,93400.5,-366,-0.39,240,0.26,-366,-0.39,42169.5,4.22
701,Entry long,2023-08-31 08:55,ORB Long A+ (3c) S:103 H:30 T1:Round T2:Round,15566.75,3,93400.5,-366,-0.39,240,0.26,-366,-0.39,42169.5,4.22
702,Exit long,2023-08-31 15:55,EOD Close,15536.5,3,93351,-132,-0.14,222,0.24,-168,-0.18,42037.5,4.20
702,Entry long,2023-08-31 12:15,ORB Long A (3c) S:94 H:30 T1:Round T2:Round,15558.5,3,93351,-132,-0.14,222,0.24,-168,-0.18,42037.5,4.20
703,Exit long,2023-09-05 10:00,L-TP1,15554.75,3,93064.5,264,0.28,264,0.28,-202.5,-0.22,42301.5,4.23
703,Entry long,2023-09-05 09:20,ORB Long B (3c) S:72 H:25 T1:FVG T2:Weekly High,15510.75,3,93064.5,264,0.28,264,0.28,-202.5,-0.22,42301.5,4.23
704,Exit short,2023-09-11 12:20,S-TP1,15423.25,2,61460,-233,-0.38,105,0.17,-233,-0.38,42068.5,4.21
704,Entry short,2023-09-11 08:55,ORB Short B (2c) S:73 H:0 T1:FVG T2:PDL,15365,2,61460,-233,-0.38,105,0.17,-233,-0.38,42068.5,4.21
705,Exit long,2023-09-11 15:55,EOD Close,15472.5,4,123616,164,0.13,368,0.30,-2,0.00,42232.5,4.22
705,Entry long,2023-09-11 12:45,ORB Long A (4c) S:94 H:30 T1:Round T2:Weekly High,15452,4,123616,164,0.13,368,0.30,-2,0.00,42232.5,4.22
706,Exit long,2023-09-12 09:25,L-TP1,15600.25,4,125202,-400,-0.32,32,0.03,-400,-0.32,41832.5,4.18
706,Entry long,2023-09-12 08:55,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,15650.25,4,125202,-400,-0.32,32,0.03,-400,-0.32,41832.5,4.18
707,Exit short,2023-09-12 13:50,S-TP1,15515,2,62329,269,0.43,269,0.43,-134,-0.21,42101.5,4.21
707,Entry short,2023-09-12 09:25,ORB Short C (2c) S:61 H:0 T1:Round T2:HTF S&R (96x),15582.25,2,62329,269,0.43,269,0.43,-134,-0.21,42101.5,4.21
708,Exit short,2023-09-13 09:30,S-TP1,15534.5,2,61936,-202,-0.33,120,0.19,-202,-0.33,41899.5,4.19
708,Entry short,2023-09-13 09:05,ORB Short C (2c) S:61 H:0 T1:Round T2:CTF S&R,15484,2,61936,-202,-0.33,120,0.19,-202,-0.33,41899.5,4.19
709,Exit long,2023-09-13 13:55,L-TP1,15531.25,4,124650,-400,-0.32,310,0.25,-400,-0.32,41499.5,4.15
709,Entry long,2023-09-13 10:00,ORB Long A (4c) S:94 H:30 T1:Round T2:PDH,15581.25,4,124650,-400,-0.32,310,0.25,-400,-0.32,41499.5,4.15
710,Exit short,2023-09-14 09:35,S-TP1,15613,2,62244,-208,-0.33,120,0.19,-208,-0.33,41291.5,4.13
710,Entry short,2023-09-14 08:50,ORB Short C (2c) S:61 H:0 T1:CTF S&R T2:PDL,15561,2,62244,-208,-0.33,120,0.19,-208,-0.33,41291.5,4.13
711,Exit long,2023-09-14 10:05,L-TP1,15685.25,4,125162,320,0.26,320,0.26,-4,0.00,41611.5,4.16
711,Entry long,2023-09-14 09:40,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,15645.25,4,125162,320,0.26,320,0.26,-4,0.00,41611.5,4.16
712,Exit long,2023-09-14 15:55,EOD Close,15677.5,4,125212,208,0.17,506,0.40,-12,-0.01,41819.5,4.18
712,Entry long,2023-09-14 10:45,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,15651.5,4,125212,208,0.17,506,0.40,-12,-0.01,41819.5,4.18
713,Exit long,2023-09-18 13:50,L-TP1,15385.5,3,92613,-300,-0.32,151.5,0.16,-300,-0.32,41519.5,4.15
713,Entry long,2023-09-18 10:30,ORB Long B (3c) S:75 H:25 T1:Round T2:CTF S&R,15435.5,3,92613,-300,-0.32,151.5,0.16,-300,-0.32,41519.5,4.15
714,Exit short,2023-09-21 09:35,S-TP1,15013.25,4,119706,-400,-0.33,354,0.30,-400,-0.33,41119.5,4.11
714,Entry short,2023-09-21 08:45,ORB Short B+ (4c) S:84 H:30 T1:Round T2:HTF S&R (48x),14963.25,4,119706,-400,-0.33,354,0.30,-400,-0.33,41119.5,4.11
715,Exit short,2023-09-21 14:05,S-TP1,14915,3,89773.5,283.5,0.32,283.5,0.32,-229.5,-0.26,41403,4.14
715,Entry short,2023-09-21 09:55,ORB Short B (3c) S:70 H:30 T1:Round T2:HTF S&R (48x),14962.25,3,89773.5,283.5,0.32,283.5,0.32,-229.5,-0.26,41403,4.14
716,Exit long,2023-09-22 09:30,L-TP1,14989.75,3,89698.5,240,0.27,240,0.27,-228,-0.25,41643,4.16
716,Entry long,2023-09-22 08:55,ORB Long B (3c) S:73 H:0 T1:Round T2:PDH,14949.75,3,89698.5,240,0.27,240,0.27,-228,-0.25,41643,4.16
717,Exit long,2023-09-25 09:25,L-TP1,14826,2,59504,-200,-0.34,36,0.06,-200,-0.34,41443,4.14
717,Entry long,2023-09-25 08:55,ORB Long C (2c) S:61 H:0 T1:FVG T2:PDH,14876,2,59504,-200,-0.34,36,0.06,-200,-0.34,41443,4.14
718,Exit long,2023-09-28 09:30,L-TP1,14679.25,2,58932,-215,-0.36,162,0.27,-215,-0.36,41228,4.12
718,Entry long,2023-09-28 08:50,ORB Long B (2c) S:75 H:0 T1:CTF S&R (2x) T2:PDH,14733,2,58932,-215,-0.36,162,0.27,-215,-0.36,41228,4.12
719,Exit long,2023-09-28 09:45,L-TP1,14770.75,2,58907,176,0.30,176,0.30,-56,-0.10,41404,4.14
719,Entry long,2023-09-28 09:35,ORB Long C (2c) S:64 H:0 T1:FVG T2:PDH,14726.75,2,58907,176,0.30,176,0.30,-56,-0.10,41404,4.14
720,Exit short,2023-10-05 09:00,S-TP1,14800.75,3,89082,277.5,0.31,277.5,0.31,-67.5,-0.08,41681.5,4.17
720,Entry short,2023-10-05 08:45,ORB Short A+ (3c) S:100 H:25 T1:FVG T2:Round,14847,3,89082,277.5,0.31,277.5,0.31,-67.5,-0.08,41681.5,4.17
721,Exit long,2023-10-12 12:05,L-TP1,15364.5,3,92533.5,-346.5,-0.37,283.5,0.31,-346.5,-0.37,41335,4.13
721,Entry long,2023-10-12 09:05,ORB Long B+ (3c) S:84 H:30 T1:Round T2:Round,15422.25,3,92533.5,-346.5,-0.37,283.5,0.31,-346.5,-0.37,41335,4.13
722,Exit short,2023-10-12 12:15,S-TP1,15317,2,61456,188,0.31,188,0.31,-15,-0.02,41523,4.15
722,Entry short,2023-10-12 12:05,ORB Short C (2c) S:64 H:0 T1:FVG T2:PDL,15364,2,61456,188,0.31,188,0.31,-15,-0.02,41523,4.15
723,Exit short,2023-10-13 09:50,S-TP1,15231.25,2,61154,229,0.37,229,0.37,-70,-0.11,41752,4.18
723,Entry short,2023-10-13 09:10,ORB Short C (2c) S:61 H:0 T1:PDL T2:CTF S&R,15288.5,2,61154,229,0.37,229,0.37,-70,-0.11,41752,4.18
724,Exit long,2023-10-16 14:10,L-TP1,15325.5,2,61054,248,0.41,248,0.41,-207,-0.34,42000,4.20
724,Entry long,2023-10-16 09:15,ORB Long B (2c) S:72 H:25 T1:CTF S&R T2:PDH,15263.5,2,61054,248,0.41,248,0.41,-207,-0.34,42000,4.20
725,Exit long,2023-10-18 09:30,L-TP1,15134.5,2,60803,-265,-0.44,93,0.15,-265,-0.44,41735,4.17
725,Entry long,2023-10-18 09:15,ORB Long B (2c) S:70 H:25 T1:CTF S&R T2:PDH,15200.75,2,60803,-265,-0.44,93,0.15,-265,-0.44,41735,4.17
726,Exit short,2023-10-20 09:50,S-TP1,14715,3,88701,411,0.46,411,0.46,-177,-0.20,42146,4.21
726,Entry short,2023-10-20 09:10,ORB Short A+ (3c) S:103 H:30 T1:Round T2:HTF S&R (48x),14783.5,3,88701,411,0.46,411,0.46,-177,-0.20,42146,4.21
727,Exit short,2023-10-24 13:30,S-TP1,14819.5,2,59028,-250,-0.42,205,0.35,-250,-0.42,41896,4.19
727,Entry short,2023-10-24 11:20,ORB Short B (2c) S:75 H:25 T1:CTF S&R T2:HTF S&R (48x),14757,2,59028,-250,-0.42,205,0.35,-250,-0.42,41896,4.19
728,Exit short,2023-10-25 09:45,S-TP1,14674,3,87678,-366,-0.42,96,0.11,-366,-0.42,41530,4.15
728,Entry short,2023-10-25 08:45,ORB Short A (3c) S:89 H:30 T1:Round T2:CTF S&R,14613,3,87678,-366,-0.42,96,0.11,-366,-0.42,41530,4.15
729,Exit short,2023-10-25 10:00,S-TP1,14679.5,3,87757.5,-319.5,-0.36,49.5,0.06,-319.5,-0.36,41210.5,4.12
729,Entry short,2023-10-25 09:50,ORB Short B (3c) S:77 H:30 T1:Round T2:CTF S&R,14626.25,3,87757.5,-319.5,-0.36,49.5,0.06,-319.5,-0.36,41210.5,4.12
730,Exit short,2023-10-25 11:05,S-TP1,14565,2,58484,224,0.38,224,0.38,-112,-0.19,41434.5,4.14
730,Entry short,2023-10-25 10:20,ORB Short B (2c) S:77 H:30 T1:Round T2:CTF S&R,14621,2,58484,224,0.38,224,0.38,-112,-0.19,41434.5,4.14
731,Exit short,2023-10-26 09:10,S-TP1,14295.5,3,86178,405,0.47,405,0.47,-21,-0.02,41839.5,4.18
731,Entry short,2023-10-26 08:45,ORB Short A+ (3c) S:103 H:30 T1:FVG T2:CTF S&R,14363,3,86178,405,0.47,405,0.47,-21,-0.02,41839.5,4.18
732,Exit short,2023-10-27 09:05,S-TP1,14357.25,2,57186,-243,-0.42,22,0.04,-243,-0.42,41596.5,4.16
732,Entry short,2023-10-27 08:45,ORB Short B (2c) S:75 H:30 T1:FVG T2:PDL,14296.5,2,57186,-243,-0.42,22,0.04,-243,-0.42,41596.5,4.16
733,Exit short,2023-10-27 10:05,S-TP1,14348.5,2,57110,-284,-0.50,14,0.02,-284,-0.50,41312.5,4.13
733,Entry short,2023-10-27 09:40,ORB Short C (2c) S:63 H:30 T1:Round T2:PDL,14277.5,2,57110,-284,-0.50,14,0.02,-284,-0.50,41312.5,4.13
734,Exit short,2023-10-27 12:55,S-TP1,14231.75,2,57179,252,0.44,252,0.44,-2,0.00,41564.5,4.16
734,Entry short,2023-10-27 12:00,ORB Short C+ (2c) S:66 H:30 T1:FVG T2:PDL,14294.75,2,57179,252,0.44,252,0.44,-2,0.00,41564.5,4.16
735,Exit short,2023-10-30 12:25,S-TP1,14400.5,2,57335,-267,-0.47,110,0.19,-267,-0.47,41297.5,4.13
735,Entry short,2023-10-30 09:35,ORB Short B (2c) S:72 H:25 T1:CTF S&R T2:Weekly Low,14333.75,2,57335,-267,-0.47,110,0.19,-267,-0.47,41297.5,4.13
736,Exit long,2023-10-31 13:00,L-TP1,14485,2,57743,197,0.34,197,0.34,-91,-0.16,41494.5,4.15
736,Entry long,2023-10-31 11:45,ORB Long C (2c) S:64 H:0 T1:Round T2:Round,14435.75,2,57743,197,0.34,197,0.34,-91,-0.16,41494.5,4.15
737,Exit long,2023-11-07 09:25,L-TP1,15339.75,4,122384,334,0.27,334,0.27,-200,-0.16,41828.5,4.18
737,Entry long,2023-11-07 08:55,ORB Long A (4c) S:91 H:30 T1:Round T2:HTF S&R (96x),15298,4,122384,334,0.27,334,0.27,-200,-0.16,41828.5,4.18
738,Exit long,2023-11-09 09:05,L-TP1,15371.5,4,123384,-412,-0.33,78,0.06,-412,-0.33,41416.5,4.14
738,Entry long,2023-11-09 08:55,ORB Long A+ (4c) S:103 H:30 T1:HTF S&R (96x) T2:Round,15423,4,123384,-412,-0.33,78,0.06,-412,-0.33,41416.5,4.14
739,Exit short,2023-11-09 10:05,S-TP1,15419.25,2,61452,-225,-0.37,67,0.11,-225,-0.37,41191.5,4.12
739,Entry short,2023-11-09 09:25,ORB Short C (2c) S:61 H:0 T1:Round T2:CTF S&R (2x),15363,2,61452,-225,-0.37,67,0.11,-225,-0.37,41191.5,4.12
740,Exit long,2023-11-09 12:00,L-TP1,15369.75,4,123358,-400,-0.32,268,0.22,-400,-0.32,40791.5,4.08
740,Entry long,2023-11-09 10:10,ORB Long A (4c) S:94 H:30 T1:HTF S&R (96x) T2:Round,15419.75,4,123358,-400,-0.32,268,0.22,-400,-0.32,40791.5,4.08
741,Exit short,2023-11-09 13:40,S-TP1,15265,2,61383,323,0.53,323,0.53,-202,-0.33,41114.5,4.11
741,Entry short,2023-11-09 12:00,ORB Short B (2c) S:75 H:0 T1:Round T2:CTF S&R (2x),15345.75,2,61383,323,0.53,323,0.53,-202,-0.33,41114.5,4.11
742,Exit long,2023-11-10 09:00,L-TP1,15334.25,4,123074,-400,-0.33,38,0.03,-400,-0.33,40714.5,4.07
742,Entry long,2023-11-10 08:50,ORB Long A (4c) S:86 H:25 T1:Round T2:HTF S&R (96x),15384.25,4,123074,-400,-0.33,38,0.03,-400,-0.33,40714.5,4.07
743,Exit long,2023-11-10 11:00,L-TP1,15460.5,3,92428.5,334.5,0.36,334.5,0.36,-9,-0.01,41049,4.10
743,Entry long,2023-11-10 10:00,ORB Long B (3c) S:77 H:30 T1:HTF S&R (96x) T2:Round,15404.75,3,92428.5,334.5,0.36,334.5,0.36,-9,-0.01,41049,4.10
744,Exit short,2023-11-13 09:45,S-TP1,15537.75,2,61903,-248,-0.40,42,0.07,-248,-0.40,40801,4.08
744,Entry short,2023-11-13 08:50,ORB Short B (2c) S:75 H:0 T1:Round T2:CTF S&R,15475.75,2,61903,-248,-0.40,42,0.07,-248,-0.40,40801,4.08
745,Exit long,2023-11-13 10:45,L-TP1,15585.5,4,124344,340,0.27,340,0.27,-108,-0.09,41141,4.11
745,Entry long,2023-11-13 09:50,ORB Long A (4c) S:91 H:30 T1:FVG+Round T2:HTF S&R (48x),15543,4,124344,340,0.27,340,0.27,-108,-0.09,41141,4.11
746,Exit long,2023-11-14 09:45,L-TP1,15902,4,126896,320,0.25,320,0.25,-118,-0.09,41461,4.15
746,Entry long,2023-11-14 08:55,ORB Long B+ (4c) S:80 H:30 T1:HTF S&R (36x) T2:Round,15862,4,126896,320,0.25,320,0.25,-118,-0.09,41461,4.15
747,Exit long,2023-11-14 14:05,L-TP1,15901.5,4,126880,332,0.26,332,0.26,-304,-0.24,41793,4.18
747,Entry long,2023-11-14 11:35,ORB Long B+ (4c) S:80 H:30 T1:HTF S&R (36x) T2:Round,15860,4,126880,332,0.26,332,0.26,-304,-0.24,41793,4.18
748,Exit long,2023-11-20 09:20,L-TP1,15946.25,4,127970,-400,-0.31,54,0.04,-400,-0.31,41393,4.14
748,Entry long,2023-11-20 08:55,ORB Long B+ (4c) S:82 H:30 T1:Weekly High T2:Round,15996.25,4,127970,-400,-0.31,54,0.04,-400,-0.31,41393,4.14
749,Exit long,2023-11-20 12:00,L-TP1,16047.5,4,127998,382,0.30,382,0.30,-4,0.00,41775,4.18
749,Entry long,2023-11-20 09:55,ORB Long B+ (4c) S:82 H:30 T1:HTF S&R (48x) T2:Round,15999.75,4,127998,382,0.30,382,0.30,-4,0.00,41775,4.18
750,Exit long,2023-11-27 12:00,L-TP1,16084.25,4,128352,322,0.25,322,0.25,-358,-0.28,42097,4.21
750,Entry long,2023-11-27 09:05,ORB Long B+ (4c) S:84 H:25 T1:FVG+Round T2:Weekly High,16044,4,128352,322,0.25,322,0.25,-358,-0.28,42097,4.21
751,Exit long,2023-12-01 09:25,L-TP1,15887.5,4,127500,-400,-0.31,100,0.08,-400,-0.31,41697,4.17
751,Entry long,2023-12-01 09:00,ORB Long A+ (4c) S:98 H:25 T1:CTF S&R T2:HTF S&R (48x),15937.5,4,127500,-400,-0.31,100,0.08,-400,-0.31,41697,4.17
752,Exit long,2023-12-01 10:10,L-TP1,15980,4,127520,320,0.25,320,0.25,-40,-0.03,42017,4.20
752,Entry long,2023-12-01 10:05,ORB Long A (4c) S:86 H:25 T1:CTF S&R T2:HTF S&R (48x),15940,4,127520,320,0.25,320,0.25,-40,-0.03,42017,4.20
753,Exit long,2023-12-05 09:00,L-TP1,15901.5,4,126818,394,0.31,394,0.31,-44,-0.03,42411,4.24
753,Entry long,2023-12-05 08:50,ORB Long A+ (4c) S:98 H:25 T1:HTF S&R (36x) T2:CTF S&R (2x)+Round,15852.25,4,126818,394,0.31,394,0.31,-44,-0.03,42411,4.24
754,Exit long,2023-12-05 14:55,L-TP1,15911.75,4,126946,348,0.27,348,0.27,-326,-0.26,42759,4.28
754,Entry long,2023-12-05 10:55,ORB Long A (4c) S:89 H:25 T1:FVG T2:HTF S&R (48x),15868.25,4,126946,348,0.27,348,0.27,-326,-0.26,42759,4.28
755,Exit short,2023-12-06 09:25,S-TP1,15877.5,2,63682,172,0.27,172,0.27,-208,-0.33,42931,4.29
755,Entry short,2023-12-06 09:00,ORB Short C (2c) S:61 H:0 T1:CTF S&R T2:PDL,15920.5,2,63682,172,0.27,172,0.27,-208,-0.33,42931,4.29
756,Exit long,2023-12-07 10:15,L-TP1,15943.75,4,127950,-400,-0.31,140,0.11,-400,-0.31,42531,4.25
756,Entry long,2023-12-07 09:20,ORB Long A (4c) S:89 H:30 T1:Round T2:CTF S&R,15993.75,4,127950,-400,-0.31,140,0.11,-400,-0.31,42531,4.25
757,Exit long,2023-12-07 11:15,L-TP1,16038.75,4,127990,320,0.25,320,0.25,-30,-0.02,42851,4.29
757,Entry long,2023-12-07 10:30,ORB Long A (4c) S:94 H:30 T1:Round T2:CTF S&R,15998.75,4,127990,320,0.25,320,0.25,-30,-0.02,42851,4.29
758,Exit long,2023-12-08 09:10,L-TP1,16085,4,128360,320,0.25,320,0.25,-136,-0.11,43171,4.32
758,Entry long,2023-12-08 09:00,ORB Long A+ (4c) S:105 H:30 T1:CTF S&R T2:HTF S&R (48x),16045,4,128360,320,0.25,320,0.25,-136,-0.11,43171,4.32
759,Exit long,2023-12-08 12:10,L-TP1,16076.25,4,128218,392,0.31,392,0.31,-300,-0.23,43563,4.36
759,Entry long,2023-12-08 10:45,ORB Long A (4c) S:94 H:30 T1:FVG T2:HTF S&R (48x),16027.25,4,128218,392,0.31,392,0.31,-300,-0.23,43563,4.36
760,Exit long,2023-12-11 09:50,L-TP1,16192.75,4,129206,336,0.26,336,0.26,-204,-0.16,43899,4.39
760,Entry long,2023-12-11 08:50,ORB Long A+ (4c) S:96 H:30 T1:HTF S&R (48x) T2:Round,16150.75,4,129206,336,0.26,336,0.26,-204,-0.16,43899,4.39
761,Exit long,2023-12-11 11:35,L-TP1,16192.75,4,129220,322,0.25,322,0.25,-248,-0.19,44221,4.42
761,Entry long,2023-12-11 10:20,ORB Long A (4c) S:94 H:30 T1:HTF S&R (48x) T2:Round,16152.5,4,129220,322,0.25,322,0.25,-248,-0.19,44221,4.42
762,Exit long,2023-12-12 13:20,L-TP1,16535,3,98802,408,0.41,408,0.41,-75,-0.08,44629,4.46
762,Entry long,2023-12-12 08:55,ORB Long B (3c) S:77 H:30 T1:Round T2:Round,16467,3,98802,408,0.41,408,0.41,-75,-0.08,44629,4.46
763,Exit short,2023-12-14 10:10,S-TP1,16765,2,67220,160,0.24,160,0.24,-61,-0.09,44789,4.48
763,Entry short,2023-12-14 09:15,ORB Short C (2c) S:61 H:0 T1:Round T2:FVG,16805,2,67220,160,0.24,160,0.24,-61,-0.09,44789,4.48
764,Exit long,2023-12-15 12:40,L-TP1,16796.75,4,134784,-410,-0.30,314,0.23,-410,-0.30,44379,4.44
764,Entry long,2023-12-15 09:15,ORB Long A (4c) S:91 H:30 T1:Round T2:Round,16848,4,134784,-410,-0.30,314,0.23,-410,-0.30,44379,4.44
765,Exit short,2023-12-15 14:20,S-TP1,16829.5,3,100665,-312,-0.31,88.5,0.09,-312,-0.31,44067,4.41
765,Entry short,2023-12-15 12:40,ORB Short B (3c) S:78 H:0 T1:FVG T2:PDL,16777.5,3,100665,-312,-0.31,88.5,0.09,-312,-0.31,44067,4.41
766,Exit long,2023-12-18 11:15,L-TP1,16935,4,135028,452,0.33,452,0.33,-182,-0.13,44519,4.45
766,Entry long,2023-12-18 08:55,ORB Long A (4c) S:91 H:30 T1:Round T2:Round,16878.5,4,135028,452,0.33,452,0.33,-182,-0.13,44519,4.45
767,Exit long,2023-12-19 15:55,EOD Close,17026,4,135980,228,0.17,256,0.19,-260,-0.19,44747,4.47
767,Entry long,2023-12-19 09:30,ORB Long A (4c) S:91 H:30 T1:Round T2:Round,16997.5,4,135980,228,0.17,256,0.19,-260,-0.19,44747,4.47
768,Exit long,2023-12-20 13:35,L-TP1,16976,4,136208,-400,-0.29,380,0.28,-400,-0.29,44347,4.43
768,Entry long,2023-12-20 09:00,ORB Long A+ (4c) S:105 H:30 T1:Round T2:Round,17026,4,136208,-400,-0.29,380,0.28,-400,-0.29,44347,4.43
769,Exit short,2023-12-22 13:15,S-TP1,16944,2,67939,163,0.24,163,0.24,-147,-0.22,44510,4.45
769,Entry short,2023-12-22 11:05,ORB Short C (2c) S:64 H:0 T1:FVG T2:PDL,16984.75,2,67939,163,0.24,163,0.24,-147,-0.22,44510,4.45
770,Exit long,2023-12-26 15:55,EOD Close,17090,4,136460,260,0.19,432,0.32,-278,-0.20,44770,4.48
770,Entry long,2023-12-26 09:35,ORB Long A (4c) S:91 H:30 T1:Round T2:Round,17057.5,4,136460,260,0.19,432,0.32,-278,-0.20,44770,4.48
771,Exit long,2024-01-08 09:00,L-TP1,16635,3,99493.5,316.5,0.32,316.5,0.32,-34.5,-0.03,45086.5,4.51
771,Entry long,2024-01-08 08:45,ORB Long B (3c) S:75 H:0 T1:Round T2:CTF S&R,16582.25,3,99493.5,316.5,0.32,316.5,0.32,-34.5,-0.03,45086.5,4.51
772,Exit long,2024-01-09 10:15,L-TP1,16781,4,133764,484,0.36,484,0.36,-70,-0.05,45570.5,4.56
772,Entry long,2024-01-09 09:05,ORB Long A (4c) S:89 H:30 T1:CTF S&R T2:PDH,16720.5,4,133764,484,0.36,484,0.36,-70,-0.05,45570.5,4.56
773,Exit short,2024-01-11 09:00,S-TP1,16892.25,2,67798,229,0.34,229,0.34,-48,-0.07,45799.5,4.58
773,Entry short,2024-01-11 08:45,ORB Short C (2c) S:61 H:0 T1:FVG T2:PDL,16949.5,2,67798,229,0.34,229,0.34,-48,-0.07,45799.5,4.58
774,Exit short,2024-01-12 09:50,S-TP1,16919.25,2,67837,160,0.24,160,0.24,-183,-0.27,45959.5,4.60
774,Entry short,2024-01-12 09:00,ORB Short C (2c) S:61 H:0 T1:FVG T2:CTF S&R,16959.25,2,67837,160,0.24,160,0.24,-183,-0.27,45959.5,4.60
775,Exit long,2024-01-16 09:40,L-TP1,17008.25,2,67859,174,0.26,174,0.26,-11,-0.02,46133.5,4.61
775,Entry long,2024-01-16 09:15,ORB Long C+ (2c) S:66 H:30 T1:CTF S&R T2:Weekly High,16964.75,2,67859,174,0.26,174,0.26,-11,-0.02,46133.5,4.61
776,Exit long,2024-01-16 12:50,L-TP1,16897.5,2,67790,-200,-0.30,3,0.00,-200,-0.30,45933.5,4.59
776,Entry long,2024-01-16 12:30,ORB Long C+ (2c) S:66 H:30 T1:FVG+Round T2:Weekly High,16947.5,2,67790,-200,-0.30,3,0.00,-200,-0.30,45933.5,4.59
777,Exit long,2024-01-18 11:10,L-TP1,17008.75,4,136470,-400,-0.29,350,0.26,-400,-0.29,45533.5,4.55
777,Entry long,2024-01-18 09:35,ORB Long A (4c) S:91 H:30 T1:Round T2:HTF S&R (48x),17058.75,4,136470,-400,-0.29,350,0.26,-400,-0.29,45533.5,4.55
778,Exit short,2024-01-18 13:00,S-TP1,17027.25,2,67909,-200,-0.29,139,0.20,-200,-0.29,45333.5,4.53
778,Entry short,2024-01-18 12:00,ORB Short C (2c) S:64 H:0 T1:CTF S&R T2:CTF S&R (2x),16977.25,2,67909,-200,-0.29,139,0.20,-200,-0.29,45333.5,4.53
779,Exit long,2024-01-23 14:55,L-TP1,17535,4,139916,364,0.26,364,0.26,-236,-0.17,45697.5,4.57
779,Entry long,2024-01-23 11:55,ORB Long A (4c) S:94 H:30 T1:Round T2:PDH,17489.5,4,139916,364,0.26,364,0.26,-236,-0.17,45697.5,4.57
780,Exit long,2024-01-24 11:30,L-TP1,17785,4,141624,656,0.46,656,0.46,-120,-0.08,46353.5,4.64
780,Entry long,2024-01-24 09:15,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,17703,4,141624,656,0.46,656,0.46,-120,-0.08,46353.5,4.64
781,Exit long,2024-01-25 09:35,L-TP1,17680.25,4,141842,-400,-0.28,64,0.05,-400,-0.28,45953.5,4.60
781,Entry long,2024-01-25 09:25,ORB Long B+ (4c) S:80 H:30 T1:PDH T2:Round,17730.25,4,141842,-400,-0.28,64,0.05,-400,-0.28,45953.5,4.60
782,Exit long,2024-01-25 11:05,L-TP1,17685.25,4,141882,-400,-0.28,134,0.09,-400,-0.28,45553.5,4.56
