Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
145,Entry long,2020-12-02 09:15,ORB Long B (3c) S:77 H:30 T1:HTF S&R (48x) T2:PDH,12413.25,3,74479.5,240,0.32,240,0.32,-88.5,-0.12,11065.5,1.11
146,Exit long,2020-12-07 15:55,EOD Close,12571.75,4,100676,-102,-0.10,222,0.22,-300,-0.30,10963.5,1.10
146,Entry long,2020-12-07 08:55,ORB Long A+ (4c) S:103 H:30 T1:Round T2:Round,12584.5,4,100676,-102,-0.10,222,0.22,-300,-0.30,10963.5,1.10
147,Exit short,2020-12-08 10:55,S-TP1,12579.75,3,75178.5,-300,-0.40,163.5,0.22,-300,-0.40,10663.5,1.07
147,Entry short,2020-12-08 08:45,ORB Short B (3c) S:73 H:0 T1:PDL T2:CTF S&R (2x),12529.75,3,75178.5,-300,-0.40,163.5,0.22,-300,-0.40,10663.5,1.07
148,Exit long,2020-12-08 13:20,L-TP1,12637,4,100776,320,0.32,320,0.32,-146,-0.14,10983.5,1.10
148,Entry long,2020-12-08 11:00,ORB Long A (4c) S:94 H:30 T1:Round T2:Round,12597,4,100776,320,0.32,320,0.32,-146,-0.14,10983.5,1.10
149,Exit long,2020-12-10 09:05,L-TP1,12385,4,98726,354,0.36,354,0.36,-4,0.00,11337.5,1.13
149,Entry long,2020-12-10 08:45,ORB Long B+ (4c) S:84 H:25 T1:Round T2:HTF S&R (48x),12340.75,4,98726,354,0.36,354,0.36,-4,0.00,11337.5,1.13
150,Exit long,2020-12-14 09:20,L-TP1,12537,4,99976,320,0.32,320,0.32,-8,-0.01,11657.5,1.17
150,Entry long,2020-12-14 08:50,ORB Long A+ (4c) S:98 H:30 T1:Round T2:Weekly High,12497,4,99976,320,0.32,320,0.32,-8,-0.01,11657.5,1.17
151,Exit long,2020-12-14 14:50,L-TP1,12449.25,4,99994,-400,-0.40,180,0.18,-400,-0.40,11257.5,1.13
151,Entry long,2020-12-14 12:30,ORB Long A (4c) S:94 H:30 T1:Round T2:Weekly High,12499.25,4,99994,-400,-0.40,180,0.18,-400,-0.40,11257.5,1.13
152,Exit long,2020-12-16 14:20,L-TP1,12685,3,75780,330,0.44,330,0.44,-117,-0.15,11587.5,1.16
152,Entry long,2020-12-16 09:40,ORB Long B (3c) S:77 H:30 T1:Round T2:Round,12630,3,75780,330,0.44,330,0.44,-117,-0.15,11587.5,1.16
153,Exit short,2020-12-18 09:00,S-TP1,12698,3,76428,240,0.31,240,0.31,-25.5,-0.03,11827.5,1.18
153,Entry short,2020-12-18 08:45,ORB Short B (3c) S:73 H:0 T1:CTF S&R T2:CTF S&R,12738,3,76428,240,0.31,240,0.31,-25.5,-0.03,11827.5,1.18
154,Exit long,2020-12-21 15:55,EOD Close,12691,3,75961.5,184.5,0.24,256.5,0.34,-142.5,-0.19,12012,1.20
154,Entry long,2020-12-21 12:05,ORB Long B (3c) S:75 H:25 T1:FVG T2:Weekly High,12660.25,3,75961.5,184.5,0.24,256.5,0.34,-142.5,-0.19,12012,1.20
155,Exit long,2020-12-23 14:50,L-TP1,12676,4,101808,-400,-0.39,40,0.04,-400,-0.39,11612,1.16
155,Entry long,2020-12-23 12:05,ORB Long A+ (4c) S:103 H:25 T1:CTF S&R (2x) T2:Round,12726,4,101808,-400,-0.39,40,0.04,-400,-0.39,11612,1.16
156,Exit long,2020-12-24 10:50,L-TP1,12669.75,4,101758,-400,-0.39,24,0.02,-400,-0.39,11212,1.12
156,Entry long,2020-12-24 09:30,ORB Long A (4c) S:89 H:30 T1:CTF S&R T2:Round,12719.75,4,101758,-400,-0.39,24,0.02,-400,-0.39,11212,1.12
157,Exit short,2020-12-30 15:55,EOD Close,12842,3,77160,108,0.14,237,0.31,-76.5,-0.10,11320,1.13
157,Entry short,2020-12-30 08:50,ORB Short B (3c) S:73 H:0 T1:PDL T2:CTF S&R,12860,3,77160,108,0.14,237,0.31,-76.5,-0.10,11320,1.13
158,Exit long,2021-01-05 09:55,L-TP1,12713,4,102104,-400,-0.39,154,0.15,-400,-0.39,10920,1.09
158,Entry long,2021-01-05 08:50,ORB Long A (4c) S:86 H:25 T1:Round T2:Weekly High,12763,4,102104,-400,-0.39,154,0.15,-400,-0.39,10920,1.09
159,Exit long,2021-01-05 15:55,EOD Close,12804.5,4,102178,258,0.25,290,0.28,-148,-0.14,11178,1.12
159,Entry long,2021-01-05 13:00,ORB Long A (4c) S:86 H:25 T1:Round T2:Weekly High,12772.25,4,102178,258,0.25,290,0.28,-148,-0.14,11178,1.12
160,Exit long,2021-01-07 09:20,L-TP1,12884,4,102702,370,0.36,370,0.36,-48,-0.05,11548,1.15
160,Entry long,2021-01-07 08:55,ORB Long A (4c) S:89 H:30 T1:CTF S&R (2x) T2:Weekly High,12837.75,4,102702,370,0.36,370,0.36,-48,-0.05,11548,1.15
161,Exit long,2021-01-08 12:15,L-TP1,13006,4,104448,-400,-0.38,76,0.07,-400,-0.38,11148,1.11
161,Entry long,2021-01-08 11:10,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,13056,4,104448,-400,-0.38,76,0.07,-400,-0.38,11148,1.11
162,Exit short,2021-01-08 13:10,S-TP1,13019.75,2,51879,-200,-0.39,169,0.33,-200,-0.39,10948,1.09
162,Entry short,2021-01-08 12:20,ORB Short C (2c) S:64 H:0 T1:FVG T2:CTF S&R (2x),12969.75,2,51879,-200,-0.39,169,0.33,-200,-0.39,10948,1.09
163,Exit long,2021-01-11 10:10,L-TP1,12939.5,4,103916,-400,-0.38,114,0.11,-400,-0.38,10548,1.05
163,Entry long,2021-01-11 09:25,ORB Long A (4c) S:91 H:30 T1:FVG T2:Weekly High,12989.5,4,103916,-400,-0.38,114,0.11,-400,-0.38,10548,1.05
164,Exit long,2021-01-11 13:10,L-TP1,12933.5,4,103868,-400,-0.39,236,0.23,-400,-0.39,10148,1.01
164,Entry long,2021-01-11 10:55,ORB Long A (4c) S:94 H:30 T1:FVG T2:Weekly High,12983.5,4,103868,-400,-0.39,236,0.23,-400,-0.39,10148,1.01
165,Exit long,2021-01-13 09:00,L-TP1,12885.75,4,103486,-400,-0.39,52,0.05,-400,-0.39,9748,0.97
165,Entry long,2021-01-13 08:50,ORB Long A (4c) S:86 H:25 T1:CTF S&R T2:Weekly High,12935.75,4,103486,-400,-0.39,52,0.05,-400,-0.39,9748,0.97
166,Exit long,2021-01-13 09:40,L-TP1,12963,3,77512.5,265.5,0.34,265.5,0.34,-9,-0.01,10013.5,1.00
166,Entry long,2021-01-13 09:20,ORB Long B (3c) S:72 H:25 T1:CTF S&R T2:CTF S&R,12918.75,3,77512.5,265.5,0.34,265.5,0.34,-9,-0.01,10013.5,1.00
167,Exit long,2021-01-20 12:15,L-TP1,13285,4,105650,630,0.60,630,0.60,-8,-0.01,10643.5,1.06
167,Entry long,2021-01-20 09:05,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,13206.25,4,105650,630,0.60,630,0.60,-8,-0.01,10643.5,1.06
168,Exit long,2021-01-21 15:55,EOD Close,13396.5,4,106918,254,0.24,472,0.44,-390,-0.36,10897.5,1.09
168,Entry long,2021-01-21 09:10,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,13364.75,4,106918,254,0.24,472,0.44,-390,-0.36,10897.5,1.09
169,Exit long,2021-01-26 10:45,L-TP1,13464,3,81084,-300,-0.37,114,0.14,-300,-0.37,10597.5,1.06
169,Entry long,2021-01-26 09:45,ORB Long B (3c) S:77 H:30 T1:Round T2:Round,13514,3,81084,-300,-0.37,114,0.14,-300,-0.37,10597.5,1.06
170,Exit long,2021-01-26 15:05,L-TP1,13585,4,108086,594,0.55,594,0.55,-328,-0.30,11191.5,1.12
170,Entry long,2021-01-26 12:40,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,13510.75,4,108086,594,0.55,594,0.55,-328,-0.30,11191.5,1.12
171,Exit short,2021-01-27 08:55,S-TP1,13259.25,2,52837,-200,-0.38,152,0.29,-200,-0.38,10991.5,1.10
171,Entry short,2021-01-27 08:45,ORB Short C (2c) S:61 H:0 T1:Round T2:Round,13209.25,2,52837,-200,-0.38,152,0.29,-200,-0.38,10991.5,1.10
172,Exit long,2021-01-28 09:40,L-TP1,13216.5,3,79599,-300,-0.38,73.5,0.09,-300,-0.38,10691.5,1.07
